isClosed,status,founded_at,funding_total_usd,milestones,ca_non_ca,closed_at_year,duration_days,log_funding_total_usd
0,4,2007,3000000.0,3.0,1,0,0,14.914122846632385
0,4,2010,507080.0,1.0,0,0,0,13.136424061052663
0,4,2008,28000000.0,2.0,0,0,0,17.14771506813948
0,4,2012,35000.0,1.0,0,0,0,10.46310334047155
0,4,2011,32370.0,1.0,0,0,0,10.38498734692029
0,4,2007,200000.0,1.0,0,0,0,12.206072645530174
0,4,2005,10000000.0,1.0,0,0,0,16.11809565095832
0,4,2009,250000.0,2.0,0,0,0,12.429216196844385
0,4,2007,10100000.0,2.0,0,0,0,16.12804598181149
0,4,2004,27750000.0,3.0,1,0,0,17.138746398156716
1,3,2006,11015719.0,4.0,1,2013,2704,16.214833810713795
0,4,2007,8500000.0,2.0,0,0,0,15.955576721460544
1,2,2003,11600000.0,3.0,0,0,0,16.266515656076592
0,4,2008,4500000.0,1.0,0,0,0,15.319587954740548
0,4,2008,1300000.0,1.0,0,0,0,14.077874822431763
0,4,2006,3638201.0,1.0,1,0,0,15.10699988667141
1,2,2009,5686383.0,3.0,0,0,0,15.553584927348805
0,4,2006,2920000.0,3.0,0,0,0,14.887094174244464
0,4,2001,2524025.0,1.0,0,0,0,14.741365407507024
0,4,2007,1000000.0,1.0,0,0,0,13.815510557964274
0,4,2006,1500000.0,2.0,1,0,0,14.22097566607244
0,4,2004,139051.0,1.0,0,0,0,11.842596051293928
1,2,1999,15000000.0,1.0,1,0,0,16.523560759066484
0,4,2010,13000000.0,1.0,0,0,0,16.38045991542581
0,4,2007,3900000.0,2.0,1,0,0,15.176487111099874
0,4,2010,1000000.0,1.0,0,0,0,13.815510557964274
1,2,2002,11800000.0,2.0,0,0,0,16.283610089435893
1,2,2006,9500000.0,2.0,1,0,0,16.06680235657077
1,3,2005,2192000.0,3.0,0,2012,2860,14.600324927050044
0,4,2005,8000000.0,4.0,1,0,0,15.89495209964411
1,2,1999,5500000.0,3.0,0,0,0,15.5202586502027
1,3,2006,287033.0,7.0,0,2008,715,12.567352470710166
1,3,2006,630000.0,1.0,0,2009,983,13.353475098367715
0,4,2011,11750000.0,2.0,0,0,0,16.279363798554442
0,4,2011,2500000.0,1.0,1,0,0,14.73180128983843
1,2,2006,1000000.0,3.0,1,0,0,13.815510557964274
1,2,2007,24000000.0,2.0,1,0,0,16.99356438831222
0,4,2011,240000.0,1.0,0,0,0,12.388394202324127
1,3,2007,712000.0,3.0,0,2011,1378,13.475833190394113
0,4,2000,12914607.0,1.0,0,0,0,16.373869554316215
0,4,2007,18380250.0,2.0,0,0,0,16.726787276540335
0,4,2010,2502039.0,2.0,0,0,0,14.732616557417485
0,4,2008,27000000.0,3.0,1,0,0,17.111347423968603
1,3,2008,60000.0,1.0,0,2012,1347,11.002099841204238
0,4,2006,640000.0,1.0,0,0,0,13.369223455335854
0,4,1996,20000000.0,1.0,0,0,0,16.811242831518264
0,4,2008,1400000.0,1.0,1,0,0,14.151982794585487
0,4,2008,20600000.0,1.0,0,0,0,16.84080163375981
1,2,2002,4000000.0,1.0,0,0,0,15.201804919084164
0,1,1994,18000000.0,3.0,1,0,0,16.70588231586044
0,4,2001,3500000.0,2.0,1,0,0,15.068273526459642
1,2,2007,600000.0,3.0,0,0,0,13.304684934198283
1,2,2003,11200000.0,1.0,1,2009,2120,16.231424336265324
0,4,2011,161160.0,2.0,0,0,0,11.990152939305284
0,4,2010,2000000.0,2.0,1,0,0,14.50865773852422
0,4,2007,15700000.0,2.0,1,0,0,16.569171270318538
0,4,2010,1170000.0,1.0,0,0,0,13.972514306773938
0,4,2006,12400000.0,2.0,0,0,0,16.333207030575267
0,4,2006,1000000.0,1.0,1,0,0,13.815510557964274
0,4,2010,11300009.0,3.0,1,0,0,16.24031408014243
1,2,2005,22400000.0,3.0,0,0,0,16.924571516825267
1,3,2010,167600.0,1.0,0,2012,909,12.02933546703012
1,2,2005,3450000.0,1.0,0,0,0,15.053884789007542
0,4,1999,25000.0,1.0,0,0,0,10.126631103850338
1,3,2007,1204795.0,2.0,0,2012,1736,14.001819985952752
0,4,2006,60000.0,1.0,0,0,0,11.002099841204238
0,4,1999,1500150.0,1.0,0,0,0,14.221075661072772
0,4,2009,3500000.0,2.0,1,0,0,15.068273526459642
0,4,2001,14400000.0,1.0,0,0,0,16.48273876454623
0,4,2009,14255000.0,3.0,1,0,0,16.47261828032891
0,4,2006,5000000.0,2.0,0,0,0,15.424948470398377
1,2,2006,6000000.0,3.0,1,0,0,15.60727002719233
1,3,2007,1300000.0,1.0,0,2010,1115,14.077874822431763
0,4,2011,46000.0,2.0,0,0,0,10.736396675471232
0,4,2006,3469500.0,1.0,0,0,0,15.05952104932174
1,2,2003,3100000.0,1.0,1,0,0,14.946912669455374
0,4,2008,16000000.0,1.0,0,0,0,16.588099280204055
1,3,2006,50000.0,1.0,1,2006,-59,10.819778284410283
1,2,2006,4695100.0,3.0,0,0,0,15.3620299696522
0,4,2007,1600000.0,1.0,0,0,0,14.28551418721001
1,2,2008,350000.0,1.0,0,0,0,12.765688433465597
1,3,2004,1500000.0,1.0,0,2011,2586,14.22097566607244
1,2,2004,1500000.0,2.0,0,0,0,14.22097566607244
0,4,2004,3587250.0,1.0,0,0,0,15.092896450210652
0,4,1996,17500000.0,1.0,0,0,0,16.67771143889374
0,4,2007,1000000.0,1.0,0,0,0,13.815510557964274
0,4,2005,8150000.0,6.0,0,0,0,15.913528485217045
1,2,1999,15000000.0,1.0,0,0,0,16.523560759066484
1,2,1998,15000000.0,1.0,0,0,0,16.523560759066484
0,4,2009,10104119.0,2.0,1,0,0,16.128453720456967
0,4,2001,6500000.0,4.0,0,0,0,15.687312734865866
1,3,2005,1200000.0,1.0,0,2012,2337,13.997832114758229
0,4,2001,26830000.0,1.0,0,0,0,17.105031222401806
0,4,2011,70000.0,1.0,0,0,0,11.156250521031495
0,4,2000,14603757.0,1.0,0,0,0,16.49678938234232
1,2,2005,6000000.0,1.0,1,0,0,15.60727002719233
0,4,2011,13950000.0,1.0,1,0,0,16.45099006623165
1,2,2005,13000000.0,3.0,0,0,0,16.38045991542581
0,4,2007,4900000.0,2.0,1,0,0,15.404745763080856
0,4,2006,18500000.0,1.0,0,0,0,16.733281290048552
0,4,2005,2073280.0,1.0,0,0,0,14.54464245224373
0,4,2008,1000000.0,2.0,0,0,0,13.815510557964274
0,4,2008,1500000.0,1.0,0,0,0,14.22097566607244
0,4,2005,8775600.0,1.0,0,0,0,15.987485701047042
1,3,2007,25000.0,1.0,0,2011,1303,10.126631103850338
0,4,2005,5190129.0,6.0,0,0,0,15.462269110324508
1,2,2006,10100000.0,2.0,0,0,0,16.12804598181149
0,4,2011,6950000.0,1.0,0,0,0,15.754252217540976
0,4,2007,50000.0,2.0,1,0,0,10.819778284410283
0,4,2010,5000.0,1.0,0,0,0,8.517193191416238
0,4,2003,5800000.0,3.0,0,0,0,15.573368475516649
1,2,2006,2500000.0,3.0,0,0,0,14.73180128983843
1,3,2008,200000.0,2.0,1,2011,1183,12.206072645530174
1,3,2006,3500000.0,1.0,0,2012,2354,15.068273526459642
0,4,2000,500000.0,1.0,0,0,0,13.122363377404328
0,4,2011,380000.0,1.0,0,0,0,12.84792653170257
1,2,2003,20600000.0,2.0,0,0,0,16.84080163375981
1,2,2002,13300000.0,1.0,0,0,0,16.40327459319198
0,4,2007,3000000.0,1.0,0,0,0,14.914122846632385
0,4,2009,117059.0,1.0,0,0,0,11.670433360181011
0,4,2011,1500000.0,2.0,0,0,0,14.22097566607244
0,4,2005,1800000.0,1.0,0,0,0,14.403297222866392
1,2,2005,14300000.0,3.0,1,0,0,16.475770095230136
1,3,2007,300000.0,1.0,0,2010,1096,12.611537753638338
0,4,2008,5900000.0,2.0,1,0,0,15.590462908875947
